epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.7106,1.37127,0.73879,0.99736,0.75407,0.00027,0.00027,0.00027
2,15.6709,0.64482,0.70185,1,0.90234,0.000531929,0.000531929,0.000531929
3,18.6936,0.59598,0.67018,0.98417,1.11165,0.000775458,0.000775458,0.000775458
4,22.4582,0.62765,0.50923,0.98417,1.88444,0.00090143,0.00090143,0.00090143
5,26.2755,0.6176,0.71504,0.98681,1.08708,0.000868573,0.000868573,0.000868573
6,30.3506,0.54433,0.80739,0.99472,0.57039,0.000835717,0.000835717,0.000835717
7,34.8253,0.4346,0.69129,0.99736,0.98861,0.00080286,0.00080286,0.00080286
8,39.2813,0.36321,0.87863,1,0.34448,0.000770003,0.000770003,0.000770003
9,43.4076,0.31862,0.86544,1,0.38143,0.000737147,0.000737147,0.000737147
10,47.4382,0.26833,0.89182,1,0.32438,0.00070429,0.00070429,0.00070429
11,51.1024,0.2388,0.8496,0.99736,0.44881,0.000671433,0.000671433,0.000671433
12,55.1871,0.17697,0.7942,0.99736,0.81836,0.000638577,0.000638577,0.000638577
13,59.1524,0.20178,0.86016,1,0.42806,0.00060572,0.00060572,0.00060572
14,62.7926,0.20716,0.82586,0.99736,0.54232,0.000572863,0.000572863,0.000572863
15,66.9321,0.13812,0.85224,1,0.5516,0.000540007,0.000540007,0.000540007
16,70.8842,0.13728,0.92876,1,0.23853,0.00050715,0.00050715,0.00050715
17,74.8253,0.13073,0.89446,1,0.27897,0.000474293,0.000474293,0.000474293
18,78.8774,0.10988,0.92612,1,0.21289,0.000441437,0.000441437,0.000441437
19,83.0412,0.11728,0.92612,1,0.22489,0.00040858,0.00040858,0.00040858
20,86.8032,0.08181,0.92348,1,0.20443,0.000375723,0.000375723,0.000375723
21,92.1689,0.05931,0.93931,1,0.15401,0.000342867,0.000342867,0.000342867
22,96.1461,0.06028,0.93668,1,0.15902,0.00031001,0.00031001,0.00031001
23,100.658,0.05456,0.94459,1,0.15299,0.000277153,0.000277153,0.000277153
24,104.629,0.05234,0.94987,1,0.15698,0.000244297,0.000244297,0.000244297
25,108.73,0.03858,0.93668,1,0.16516,0.00021144,0.00021144,0.00021144
26,112.666,0.03093,0.95251,1,0.14235,0.000178583,0.000178583,0.000178583
27,116.92,0.03508,0.95515,1,0.14553,0.000145727,0.000145727,0.000145727
28,120.895,0.0327,0.94195,1,0.13776,0.00011287,0.00011287,0.00011287
29,124.862,0.03111,0.94459,1,0.16064,8.00133e-05,8.00133e-05,8.00133e-05
30,129.042,0.02249,0.93931,1,0.14589,4.71567e-05,4.71567e-05,4.71567e-05
